iter	Passed	Remaining
0	0	79
1	1	69
2	1	64
3	2	58
4	3	57
5	3	56
6	4	55
7	4	55
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	50
14	8	49
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	44
23	14	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	20	39
34	21	39
35	22	40
36	23	40
37	25	40
38	26	40
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
